"Time.bin","Group","Estimate.and.SE","Lower.CI","Upper.CI","t.and.df","p.asterisks"
"Intercept","Intercept","-0.04 (0.32)",-0.67,0.59,"-0.13 (41.03)",
"1","Quick","0.42 (0.32)",-0.21,1.05,"1.29 (42.12)",
"2","Quick","0.62 (0.3)",0.03,1.2,"2.06 (48.53)","*"
"3","Quick","2.46 (0.34)",1.8,3.12,"7.29 (40.2)","***"
"4","Quick","1.61 (0.4)",0.82,2.39,"4.01 (32.56)","***"
"5","Quick","-0.4 (0.37)",-1.13,0.33,"-1.07 (35.27)",
"6","Quick","-0.33 (0.38)",-1.07,0.41,"-0.88 (34.91)",
"7","Quick","0.22 (0.31)",-0.39,0.84,"0.72 (46.05)",
"8","Quick","2.12 (0.33)",1.47,2.78,"6.38 (40.59)","***"
"9","Quick","3.29 (0.33)",2.65,3.93,"10.05 (41.61)","***"
"10","Quick","2.64 (0.33)",1.98,3.29,"7.9 (39.92)","***"
"11","Quick","1.57 (0.37)",0.86,2.29,"4.31 (35.44)","***"
"12","Quick","0.91 (0.34)",0.24,1.58,"2.67 (39)","*"
"13","Quick","-0.23 (0.33)",-0.87,0.42,"-0.69 (41.52)",
"14","Quick","-0.4 (0.31)",-1.01,0.2,"-1.31 (45.32)",
"15","Quick","-1.14 (0.31)",-1.74,-0.54,"-3.71 (46.01)","***"
"16","Quick","-2.06 (0.32)",-2.68,-1.44,"-6.49 (43.16)","***"
"17","Quick","-2.16 (0.31)",-2.77,-1.55,"-6.96 (44.78)","***"
"18","Quick","-2.5 (0.36)",-3.2,-1.8,"-7.01 (36.67)","***"
"19","Quick","-2.59 (0.34)",-3.26,-1.93,"-7.67 (39.12)","***"
"20","Quick","-3 (0.33)",-3.65,-2.35,"-9.08 (40.56)","***"
"1","Slow","0.36 (0.31)",-0.25,0.97,"1.15 (43.66)",
"2","Slow","0.57 (0.33)",-0.08,1.21,"1.73 (39.93)",
"3","Slow","2.44 (0.35)",1.75,3.12,"6.97 (37.17)","***"
"4","Slow","1.94 (0.38)",1.19,2.69,"5.09 (33.77)","***"
"5","Slow","-0.68 (0.34)",-1.34,-0.02,"-2.01 (39.68)",
"6","Slow","-0.65 (0.29)",-1.23,-0.08,"-2.22 (49.13)","*"
"7","Slow","0.22 (0.35)",-0.47,0.91,"0.62 (36.89)",
"8","Slow","1.91 (0.33)",1.27,2.55,"5.86 (40.61)","***"
"9","Slow","3.37 (0.36)",2.67,4.07,"9.48 (36.63)","***"
"10","Slow","2.79 (0.37)",2.08,3.51,"7.62 (34.85)","***"
"11","Slow","1.91 (0.34)",1.23,2.58,"5.56 (37.9)","***"
"12","Slow","1.27 (0.35)",0.59,1.95,"3.67 (37.48)","***"
"13","Slow","0.19 (0.32)",-0.45,0.82,"0.58 (41.24)",
"14","Slow","-0.38 (0.32)",-1.01,0.25,"-1.19 (41.79)",
"15","Slow","-1.05 (0.32)",-1.69,-0.42,"-3.24 (40.59)","**"
"16","Slow","-1.97 (0.32)",-2.59,-1.35,"-6.19 (41.99)","***"
"17","Slow","-2.08 (0.32)",-2.71,-1.45,"-6.49 (41.87)","***"
"18","Slow","-2.46 (0.32)",-3.08,-1.84,"-7.77 (42.56)","***"
"19","Slow","-2.26 (0.33)",-2.9,-1.63,"-6.97 (40.94)","***"
"20","Slow","-2.84 (0.32)",-3.46,-2.22,"-9 (42.74)","***"
